Token_ID	Text_Pointer	Token	Tag	Annotation_ID	Multi_Token_Annotation
0	0	El	O	none	0
1	3	suplicio	O	none	0
2	12	de	O	none	0
3	15	la	O	none	0
4	18	gota	O	none	0
5	23	de	O	none	0
6	26	agua	O	none	0
7	30	\n\n          	O	none	0
8	42	Era	O	none	0
9	46	una	O	none	0
10	50	noche	O	none	0
11	56	fría	O	none	0
12	61	y	O	none	0
13	63	lóbrega	O	none	0
14	71	de	O	none	0
15	74	uno	O	none	0
16	78	de	O	none	0
17	81	los	O	none	0
18	85	últimos	O	none	0
19	93	años	O	none	0
20	98	del	O	none	0
21	102	siglo	O	none	0
22	108	XIII	O	none	0
23	112	.	O	none	0
24	113	\n         \n\n          	O	none	0
25	135	Toda	B-Dimensionamiento-Cantitad	50C673F7-7A32-45DE-8F6A-93A2F802CE8B	1
26	140	la	O	none	0
27	143	creación	O	none	0
28	152	yacía	O	none	0
29	158	sumergida	B-Movimiento-ALT	4171FEDA-8425-431A-A36F-1A225E435043	1
30	168	en	O	none	0
31	171	silencio	O	none	0
32	179	,	O	none	0
33	181	tinieblas	O	none	0
34	191	y	O	none	0
35	193	sueño	O	none	0
36	198	,	O	none	0
37	200	como	O	none	0
38	205	si	O	none	0
39	208	los	O	none	0
40	212	resortes	O	none	0
41	221	de	O	none	0
42	224	la	O	none	0
43	227	vida	O	none	0
44	231	\n	O	none	0
45	232	y	O	none	0
46	234	del	O	none	0
47	238	Universo	B-Lugar-Contenedor	ECDCAD42-5B5F-4B33-8A23-9EC4F7FF9576	1
48	247	se	O	none	0
49	250	hubiesen	O	none	0
50	259	paralizado	O	none	0
51	269	.	O	none	0
52	271	Entre	B-Posicionamiento	7BFFCE23-94BC-4F55-A779-D65840C79D64	1
53	277	las	O	none	0
54	281	negras	O	none	0
55	288	brumas	B-Lugar-Contenedor	C9662E17-B3E9-4A0C-B2B4-83BD302CF24D	1
56	295	de	O	none	0
57	298	esta	O	none	0
58	303	noche	O	none	0
59	309	de	O	none	0
60	312	invierno	O	none	0
61	320	,	O	none	0
62	322	se	O	none	0
63	324	\n	O	none	0
64	325	divisaban	B-Movimiento-Luz	4FD5C282-6F6D-4F7C-8D25-49A5FE5F2D92	1
65	334	,	O	none	0
66	336	en	B-Posicionamiento	6FA6A6EF-EC0E-4F5B-B1E7-1811FDC9385E	1
67	339	la	O	none	0
68	342	cumbre	B-Lugar-Contenedor	7A79D77E-4258-457D-B3FB-8491D523176C	1
69	349	de	B-Posicionamiento	375A2258-408C-4926-96E3-6A2400ED1F64	1
70	352	un	O	none	0
71	355	alto	B-Dimensionamiento-Tamaño	6393A7B9-BECC-4B46-8362-1301AF300AEE	1
72	360	y	O	none	0
73	362	fragoso	O	none	0
74	370	monte	B-Lugar-Contenedor	876519DB-59DB-4D58-8136-0612A1FF6423	1
75	375	,	O	none	0
76	377	dos	B-Dimensionamiento-Cantitad	89A6E589-7D9E-49B8-B481-76020E14508D	1
77	381	masas	B-Lugar-Contenedor	76E9E153-10C2-484E-9006-D95406C3E9D9	1
78	387	imponentes	O	none	0
79	397	,	O	none	0
80	399	dos	B-Dimensionamiento-Cantitad	29AE78C7-7EEF-4A8C-AF66-0D62C5DF5686	1
81	403	monstruos	B-Lugar-Contenedor	848CC3CF-5C7D-41B8-8B21-AA8ECD8CEFB1	1
82	413	de	B-Posicionamiento	8F0DC1E8-4489-4720-8380-BA28723010A4	1
83	415	\n	O	none	0
84	416	fantásticos	O	none	0
85	428	contornos	B-Lugar-Objeto	DA4EFE08-36A9-48FF-A9AB-2C42942B86A0	1
86	437	,	O	none	0
87	439	dos	B-Dimensionamiento-Cantitad	277E81BB-50BC-48AE-B4B3-4F47694A5B53	1
88	443	gigantes	B-Lugar-Contenedor	BE9A44F2-05DA-4985-B88C-F90F161CC7C2	1
89	452	de	O	none	0
90	455	piedra	O	none	0
91	461	,	O	none	0
92	463	que	O	none	0
93	467	frente	B-Posicionamiento	44F1634F-BB32-4796-BE8C-ADE22ADE2238	3
94	474	a	I-Posicionamiento	44F1634F-BB32-4796-BE8C-ADE22ADE2238	3
95	476	frente	I-Posicionamiento	44F1634F-BB32-4796-BE8C-ADE22ADE2238	3
96	483	parecían	O	none	0
97	492	contemplarse	B-Movimiento-Luz	91372553-F764-48C7-A916-7FE253E16633	1
98	504	\n	O	none	0
99	505	silenciosos	O	none	0
100	517	y	O	none	0
101	519	amenazadores	O	none	0
102	531	.	O	none	0
103	533	Eran	O	none	0
104	538	dos	B-Dimensionamiento-Cantitad	E098A7DA-7871-4B26-8B86-07E407C8FB83	1
105	542	vastos	B-Dimensionamiento-Tamaño	E856F026-A375-4BE9-9E02-7E62BF494514	1
106	549	edificios	B-Lugar-Contenedor	8C766679-4A7E-4260-8916-BE223B7CBC78	1
107	558	,	O	none	0
108	560	colocado	B-Movimiento-Sujeto	B5122BE3-1FDD-420B-B940-CB75FCB6D7DF	1
109	569	el	O	none	0
110	572	uno	O	none	0
111	576	a	B-Dimensionamiento-Distancia	15E97EFE-3A95-4F98-8376-B8A3E2D3F510	4
112	578	muy	I-Dimensionamiento-Distancia	15E97EFE-3A95-4F98-8376-B8A3E2D3F510	4
113	582	corta	I-Dimensionamiento-Distancia	15E97EFE-3A95-4F98-8376-B8A3E2D3F510	4
114	588	distancia	I-Dimensionamiento-Distancia	15E97EFE-3A95-4F98-8376-B8A3E2D3F510	4
115	598	del	B-Posicionamiento	46A89F71-21E3-43B6-8643-D8ECF2018927	1
116	601	\n	O	none	0
117	602	otro	B-Dimensionamiento-Cantitad	412EC773-A09E-45EE-8063-F095508A6CD3	1
118	606	.	O	none	0
119	608	El	O	none	0
120	611	primero	O	none	0
121	619	era	O	none	0
122	623	un	O	none	0
123	626	castillo	B-Lugar-Contenedor	B1B95AF4-E1E1-4291-8F1F-D73A47271B70	1
124	635	de	O	none	0
125	638	los	O	none	0
126	642	más	O	none	0
127	646	fuertes	O	none	0
128	654	e	O	none	0
